_id,name
656188c917cbd6bc5d2d4072,A-Bomb
656188c917cbd6bc5d2d4073,Abe Sapien
656188c917cbd6bc5d2d4074,Abin Sur
656188c917cbd6bc5d2d4075,Abomination
656188c917cbd6bc5d2d4076,Abraxas
656188c917cbd6bc5d2d4077,Absorbing Man
656188ca17cbd6bc5d2d4078,Adam Monroe
656188ca17cbd6bc5d2d4079,Adam Strange
656188ca17cbd6bc5d2d407a,Agent 13
656188ca17cbd6bc5d2d407b,Agent Bob
656188ca17cbd6bc5d2d407c,Agent Zero
656188ca17cbd6bc5d2d407d,Air-Walker
656188ca17cbd6bc5d2d407e,Ajax
656188ca17cbd6bc5d2d407f,Alan Scott
656188ca17cbd6bc5d2d4080,Alex Mercer
656188ca17cbd6bc5d2d4081,Alex Woolsly
656188ca17cbd6bc5d2d4082,Alfred Pennyworth
656188ca17cbd6bc5d2d4083,Alien
656188ca17cbd6bc5d2d4084,Allan Quatermain
656188ca17cbd6bc5d2d4085,Amazo
656188ca17cbd6bc5d2d4086,Ammo
656188ca17cbd6bc5d2d4087,Ando Masahashi
656188ca17cbd6bc5d2d4088,Angel
656188ca17cbd6bc5d2d4089,Angel
656188ca17cbd6bc5d2d408a,Angel Dust
656188ca17cbd6bc5d2d408b,Angel Salvadore
656188ca17cbd6bc5d2d408c,Angela
656188ca17cbd6bc5d2d408d,Animal Man
656188ca17cbd6bc5d2d408e,Annihilus
656188ca17cbd6bc5d2d408f,Ant-Man
656188ca17cbd6bc5d2d4090,Ant-Man II
656188ca17cbd6bc5d2d4091,Anti-Monitor
656188ca17cbd6bc5d2d4092,Anti-Spawn
656188ca17cbd6bc5d2d4093,Anti-Venom
656188ca17cbd6bc5d2d4094,Apocalypse
656188ca17cbd6bc5d2d4095,Aquababy
656188ca17cbd6bc5d2d4096,Aqualad
656188ca17cbd6bc5d2d4097,Aquaman
656188ca17cbd6bc5d2d4098,Arachne
656188ca17cbd6bc5d2d4099,Archangel
656188ca17cbd6bc5d2d409a,Arclight
656188ca17cbd6bc5d2d409b,Ardina
656188ca17cbd6bc5d2d409c,Ares
656188ca17cbd6bc5d2d409d,Ariel
656188ca17cbd6bc5d2d409e,Armor
656188ca17cbd6bc5d2d409f,Arsenal
656188ca17cbd6bc5d2d40a0,Astro Boy
656188ca17cbd6bc5d2d40a1,Atlas
656188ca17cbd6bc5d2d40a2,Atlas
656188ca17cbd6bc5d2d40a3,Atom
656188ca17cbd6bc5d2d40a4,Atom
656188ca17cbd6bc5d2d40a5,Atom Girl
656188ca17cbd6bc5d2d40a6,Atom II
656188ca17cbd6bc5d2d40a7,Atom III
656188ca17cbd6bc5d2d40a8,Atom IV
656188ca17cbd6bc5d2d40a9,Aurora
656188ca17cbd6bc5d2d40aa,Azazel
656188ca17cbd6bc5d2d40ab,Azrael
656188ca17cbd6bc5d2d40ac,Aztar
656188ca17cbd6bc5d2d40ad,Bane
656188ca17cbd6bc5d2d40ae,Banshee
656188ca17cbd6bc5d2d40af,Bantam
656188ca17cbd6bc5d2d40b0,Batgirl
